Main.Row	Main.Col	Sub.Row	Sub.Col	SubgridAlias	SpotType	Dilution
1	1	1	1	Sample-X-1-1	Sample	100
1	1	1	2	Sample-X-1-2	Sample	50
1	1	1	3	Sample-X-1-3	Sample	25
1	1	1	4	Sample-X-1-4	Sample	12.5
1	1	2	1	Sample-X-1-5	Sample	6.25
1	1	2	2	Sample-X-1-6	Sample	3.125
1	1	2	3	Sample-X-1-7	Sample	1.5625
1	1	2	4	NegCtrl	NegCtrl	0
1	1	3	1	Sample-X-1-1	Sample	100
1	1	3	2	Sample-X-1-2	Sample	50
1	1	3	3	Sample-X-1-3	Sample	25
1	1	3	4	Sample-X-1-4	Sample	12.5
1	1	4	1	Sample-X-1-5	Sample	6.25
1	1	4	2	Sample-X-1-6	Sample	3.125
1	1	4	3	Sample-X-1-7	Sample	1.5625
1	1	4	4	PosCtrl	PosCtrl	100
1	2	1	1	Sample-X-1-1	Sample	100
1	2	1	2	Sample-X-1-2	Sample	50
1	2	1	3	Sample-X-1-3	Sample	25
1	2	1	4	Sample-X-1-4	Sample	12.5
1	2	2	1	Sample-X-1-5	Sample	6.25
1	2	2	2	Sample-X-1-6	Sample	3.125
1	2	2	3	Sample-X-1-7	Sample	1.5625
1	2	2	4	NegCtrl	NegCtrl	0
1	2	3	1	Sample-X-1-1	Sample	100
1	2	3	2	Sample-X-1-2	Sample	50
1	2	3	3	Sample-X-1-3	Sample	25
1	2	3	4	Sample-X-1-4	Sample	12.5
1	2	4	1	Sample-X-1-5	Sample	6.25
1	2	4	2	Sample-X-1-6	Sample	3.125
1	2	4	3	Sample-X-1-7	Sample	1.5625
1	2	4	4	PosCtrl	PosCtrl	100
1	3	1	1	Sample-X-1-1	Sample	100
1	3	1	2	Sample-X-1-2	Sample	50
1	3	1	3	Sample-X-1-3	Sample	25
1	3	1	4	Sample-X-1-4	Sample	12.5
1	3	2	1	Sample-X-1-5	Sample	6.25
1	3	2	2	Sample-X-1-6	Sample	3.125
1	3	2	3	Sample-X-1-7	Sample	1.5625
1	3	2	4	NegCtrl	NegCtrl	0
1	3	3	1	Sample-X-1-1	Sample	100
1	3	3	2	Sample-X-1-2	Sample	50
1	3	3	3	Sample-X-1-3	Sample	25
1	3	3	4	Sample-X-1-4	Sample	12.5
1	3	4	1	Sample-X-1-5	Sample	6.25
1	3	4	2	Sample-X-1-6	Sample	3.125
1	3	4	3	Sample-X-1-7	Sample	1.5625
1	3	4	4	PosCtrl	PosCtrl	100
1	4	1	1	Sample-X-1-1	Sample	100
1	4	1	2	Sample-X-1-2	Sample	50
1	4	1	3	Sample-X-1-3	Sample	25
1	4	1	4	Sample-X-1-4	Sample	12.5
1	4	2	1	Sample-X-1-5	Sample	6.25
1	4	2	2	Sample-X-1-6	Sample	3.125
1	4	2	3	Sample-X-1-7	Sample	1.5625
1	4	2	4	NegCtrl	NegCtrl	0
1	4	3	1	Sample-X-1-1	Sample	100
1	4	3	2	Sample-X-1-2	Sample	50
1	4	3	3	Sample-X-1-3	Sample	25
1	4	3	4	Sample-X-1-4	Sample	12.5
1	4	4	1	Sample-X-1-5	Sample	6.25
1	4	4	2	Sample-X-1-6	Sample	3.125
1	4	4	3	Sample-X-1-7	Sample	1.5625
1	4	4	4	PosCtrl	PosCtrl	100
1	5	1	1	Sample-X-1-1	Sample	100
1	5	1	2	Sample-X-1-2	Sample	50
1	5	1	3	Sample-X-1-3	Sample	25
1	5	1	4	Sample-X-1-4	Sample	12.5
1	5	2	1	Sample-X-1-5	Sample	6.25
1	5	2	2	Sample-X-1-6	Sample	3.125
1	5	2	3	Sample-X-1-7	Sample	1.5625
1	5	2	4	NegCtrl	NegCtrl	0
1	5	3	1	Sample-X-1-1	Sample	100
1	5	3	2	Sample-X-1-2	Sample	50
1	5	3	3	Sample-X-1-3	Sample	25
1	5	3	4	Sample-X-1-4	Sample	12.5
1	5	4	1	Sample-X-1-5	Sample	6.25
1	5	4	2	Sample-X-1-6	Sample	3.125
1	5	4	3	Sample-X-1-7	Sample	1.5625
1	5	4	4	PosCtrl	PosCtrl	100
1	6	1	1	Sample-X-1-1	Sample	100
1	6	1	2	Sample-X-1-2	Sample	50
1	6	1	3	Sample-X-1-3	Sample	25
1	6	1	4	Sample-X-1-4	Sample	12.5
1	6	2	1	Sample-X-1-5	Sample	6.25
1	6	2	2	Sample-X-1-6	Sample	3.125
1	6	2	3	Sample-X-1-7	Sample	1.5625
1	6	2	4	NegCtrl	NegCtrl	0
1	6	3	1	Sample-X-1-1	Sample	100
1	6	3	2	Sample-X-1-2	Sample	50
1	6	3	3	Sample-X-1-3	Sample	25
1	6	3	4	Sample-X-1-4	Sample	12.5
1	6	4	1	Sample-X-1-5	Sample	6.25
1	6	4	2	Sample-X-1-6	Sample	3.125
1	6	4	3	Sample-X-1-7	Sample	1.5625
1	6	4	4	PosCtrl	PosCtrl	100
1	7	1	1	Sample-X-1-1	Sample	100
1	7	1	2	Sample-X-1-2	Sample	50
1	7	1	3	Sample-X-1-3	Sample	25
1	7	1	4	Sample-X-1-4	Sample	12.5
1	7	2	1	Sample-X-1-5	Sample	6.25
1	7	2	2	Sample-X-1-6	Sample	3.125
1	7	2	3	Sample-X-1-7	Sample	1.5625
1	7	2	4	NegCtrl	NegCtrl	0
1	7	3	1	Sample-X-1-1	Sample	100
1	7	3	2	Sample-X-1-2	Sample	50
1	7	3	3	Sample-X-1-3	Sample	25
1	7	3	4	Sample-X-1-4	Sample	12.5
1	7	4	1	Sample-X-1-5	Sample	6.25
1	7	4	2	Sample-X-1-6	Sample	3.125
1	7	4	3	Sample-X-1-7	Sample	1.5625
1	7	4	4	PosCtrl	PosCtrl	100
1	8	1	1	Sample-X-1-1	Sample	100
1	8	1	2	Sample-X-1-2	Sample	50
1	8	1	3	Sample-X-1-3	Sample	25
1	8	1	4	Sample-X-1-4	Sample	12.5
1	8	2	1	Sample-X-1-5	Sample	6.25
1	8	2	2	Sample-X-1-6	Sample	3.125
1	8	2	3	Sample-X-1-7	Sample	1.5625
1	8	2	4	NegCtrl	NegCtrl	0
1	8	3	1	Sample-X-1-1	Sample	100
1	8	3	2	Sample-X-1-2	Sample	50
1	8	3	3	Sample-X-1-3	Sample	25
1	8	3	4	Sample-X-1-4	Sample	12.5
1	8	4	1	Sample-X-1-5	Sample	6.25
1	8	4	2	Sample-X-1-6	Sample	3.125
1	8	4	3	Sample-X-1-7	Sample	1.5625
1	8	4	4	PosCtrl	PosCtrl	100
1	9	1	1	Sample-X-1-1	Sample	100
1	9	1	2	Sample-X-1-2	Sample	50
1	9	1	3	Sample-X-1-3	Sample	25
1	9	1	4	Sample-X-1-4	Sample	12.5
1	9	2	1	Sample-X-1-5	Sample	6.25
1	9	2	2	Sample-X-1-6	Sample	3.125
1	9	2	3	Sample-X-1-7	Sample	1.5625
1	9	2	4	NegCtrl	NegCtrl	0
1	9	3	1	Sample-X-1-1	Sample	100
1	9	3	2	Sample-X-1-2	Sample	50
1	9	3	3	Sample-X-1-3	Sample	25
1	9	3	4	Sample-X-1-4	Sample	12.5
1	9	4	1	Sample-X-1-5	Sample	6.25
1	9	4	2	Sample-X-1-6	Sample	3.125
1	9	4	3	Sample-X-1-7	Sample	1.5625
1	9	4	4	PosCtrl	PosCtrl	100
1	10	1	1	Sample-X-1-1	Sample	100
1	10	1	2	Sample-X-1-2	Sample	50
1	10	1	3	Sample-X-1-3	Sample	25
1	10	1	4	Sample-X-1-4	Sample	12.5
1	10	2	1	Sample-X-1-5	Sample	6.25
1	10	2	2	Sample-X-1-6	Sample	3.125
1	10	2	3	Sample-X-1-7	Sample	1.5625
1	10	2	4	NegCtrl	NegCtrl	0
1	10	3	1	Sample-X-1-1	Sample	100
1	10	3	2	Sample-X-1-2	Sample	50
1	10	3	3	Sample-X-1-3	Sample	25
1	10	3	4	Sample-X-1-4	Sample	12.5
1	10	4	1	Sample-X-1-5	Sample	6.25
1	10	4	2	Sample-X-1-6	Sample	3.125
1	10	4	3	Sample-X-1-7	Sample	1.5625
1	10	4	4	PosCtrl	PosCtrl	100
1	11	1	1	Sample-X-1-1	Sample	100
1	11	1	2	Sample-X-1-2	Sample	50
1	11	1	3	Sample-X-1-3	Sample	25
1	11	1	4	Sample-X-1-4	Sample	12.5
1	11	2	1	Sample-X-1-5	Sample	6.25
1	11	2	2	Sample-X-1-6	Sample	3.125
1	11	2	3	Sample-X-1-7	Sample	1.5625
1	11	2	4	NegCtrl	NegCtrl	0
1	11	3	1	Sample-X-1-1	Sample	100
1	11	3	2	Sample-X-1-2	Sample	50
1	11	3	3	Sample-X-1-3	Sample	25
1	11	3	4	Sample-X-1-4	Sample	12.5
1	11	4	1	Sample-X-1-5	Sample	6.25
1	11	4	2	Sample-X-1-6	Sample	3.125
1	11	4	3	Sample-X-1-7	Sample	1.5625
1	11	4	4	PosCtrl	PosCtrl	100
1	12	1	1	Sample-X-1-1	Sample	100
1	12	1	2	Sample-X-1-2	Sample	50
1	12	1	3	Sample-X-1-3	Sample	25
1	12	1	4	Sample-X-1-4	Sample	12.5
1	12	2	1	Sample-X-1-5	Sample	6.25
1	12	2	2	Sample-X-1-6	Sample	3.125
1	12	2	3	Sample-X-1-7	Sample	1.5625
1	12	2	4	NegCtrl	NegCtrl	0
1	12	3	1	Sample-X-1-1	Sample	100
1	12	3	2	Sample-X-1-2	Sample	50
1	12	3	3	Sample-X-1-3	Sample	25
1	12	3	4	Sample-X-1-4	Sample	12.5
1	12	4	1	Sample-X-1-5	Sample	6.25
1	12	4	2	Sample-X-1-6	Sample	3.125
1	12	4	3	Sample-X-1-7	Sample	1.5625
1	12	4	4	PosCtrl	PosCtrl	100
2	1	1	1	Sample-X-1-1	Sample	100
2	1	1	2	Sample-X-1-2	Sample	50
2	1	1	3	Sample-X-1-3	Sample	25
2	1	1	4	Sample-X-1-4	Sample	12.5
2	1	2	1	Sample-X-1-5	Sample	6.25
2	1	2	2	Sample-X-1-6	Sample	3.125
2	1	2	3	Sample-X-1-7	Sample	1.5625
2	1	2	4	NegCtrl	NegCtrl	0
2	1	3	1	Sample-X-1-1	Sample	100
2	1	3	2	Sample-X-1-2	Sample	50
2	1	3	3	Sample-X-1-3	Sample	25
2	1	3	4	Sample-X-1-4	Sample	12.5
2	1	4	1	Sample-X-1-5	Sample	6.25
2	1	4	2	Sample-X-1-6	Sample	3.125
2	1	4	3	Sample-X-1-7	Sample	1.5625
2	1	4	4	PosCtrl	PosCtrl	100
2	2	1	1	Sample-X-1-1	Sample	100
2	2	1	2	Sample-X-1-2	Sample	50
2	2	1	3	Sample-X-1-3	Sample	25
2	2	1	4	Sample-X-1-4	Sample	12.5
2	2	2	1	Sample-X-1-5	Sample	6.25
2	2	2	2	Sample-X-1-6	Sample	3.125
2	2	2	3	Sample-X-1-7	Sample	1.5625
2	2	2	4	NegCtrl	NegCtrl	0
2	2	3	1	Sample-X-1-1	Sample	100
2	2	3	2	Sample-X-1-2	Sample	50
2	2	3	3	Sample-X-1-3	Sample	25
2	2	3	4	Sample-X-1-4	Sample	12.5
2	2	4	1	Sample-X-1-5	Sample	6.25
2	2	4	2	Sample-X-1-6	Sample	3.125
2	2	4	3	Sample-X-1-7	Sample	1.5625
2	2	4	4	PosCtrl	PosCtrl	100
2	3	1	1	Sample-X-1-1	Sample	100
2	3	1	2	Sample-X-1-2	Sample	50
2	3	1	3	Sample-X-1-3	Sample	25
2	3	1	4	Sample-X-1-4	Sample	12.5
2	3	2	1	Sample-X-1-5	Sample	6.25
2	3	2	2	Sample-X-1-6	Sample	3.125
2	3	2	3	Sample-X-1-7	Sample	1.5625
2	3	2	4	NegCtrl	NegCtrl	0
2	3	3	1	Sample-X-1-1	Sample	100
2	3	3	2	Sample-X-1-2	Sample	50
2	3	3	3	Sample-X-1-3	Sample	25
2	3	3	4	Sample-X-1-4	Sample	12.5
2	3	4	1	Sample-X-1-5	Sample	6.25
2	3	4	2	Sample-X-1-6	Sample	3.125
2	3	4	3	Sample-X-1-7	Sample	1.5625
2	3	4	4	PosCtrl	PosCtrl	100
2	4	1	1	Sample-X-1-1	Sample	100
2	4	1	2	Sample-X-1-2	Sample	50
2	4	1	3	Sample-X-1-3	Sample	25
2	4	1	4	Sample-X-1-4	Sample	12.5
2	4	2	1	Sample-X-1-5	Sample	6.25
2	4	2	2	Sample-X-1-6	Sample	3.125
2	4	2	3	Sample-X-1-7	Sample	1.5625
2	4	2	4	NegCtrl	NegCtrl	0
2	4	3	1	Sample-X-1-1	Sample	100
2	4	3	2	Sample-X-1-2	Sample	50
2	4	3	3	Sample-X-1-3	Sample	25
2	4	3	4	Sample-X-1-4	Sample	12.5
2	4	4	1	Sample-X-1-5	Sample	6.25
2	4	4	2	Sample-X-1-6	Sample	3.125
2	4	4	3	Sample-X-1-7	Sample	1.5625
2	4	4	4	PosCtrl	PosCtrl	100
2	5	1	1	Sample-X-1-1	Sample	100
2	5	1	2	Sample-X-1-2	Sample	50
2	5	1	3	Sample-X-1-3	Sample	25
2	5	1	4	Sample-X-1-4	Sample	12.5
2	5	2	1	Sample-X-1-5	Sample	6.25
2	5	2	2	Sample-X-1-6	Sample	3.125
2	5	2	3	Sample-X-1-7	Sample	1.5625
2	5	2	4	NegCtrl	NegCtrl	0
2	5	3	1	Sample-X-1-1	Sample	100
2	5	3	2	Sample-X-1-2	Sample	50
2	5	3	3	Sample-X-1-3	Sample	25
2	5	3	4	Sample-X-1-4	Sample	12.5
2	5	4	1	Sample-X-1-5	Sample	6.25
2	5	4	2	Sample-X-1-6	Sample	3.125
2	5	4	3	Sample-X-1-7	Sample	1.5625
2	5	4	4	PosCtrl	PosCtrl	100
2	6	1	1	Sample-X-1-1	Sample	100
2	6	1	2	Sample-X-1-2	Sample	50
2	6	1	3	Sample-X-1-3	Sample	25
2	6	1	4	Sample-X-1-4	Sample	12.5
2	6	2	1	Sample-X-1-5	Sample	6.25
2	6	2	2	Sample-X-1-6	Sample	3.125
2	6	2	3	Sample-X-1-7	Sample	1.5625
2	6	2	4	NegCtrl	NegCtrl	0
2	6	3	1	Sample-X-1-1	Sample	100
2	6	3	2	Sample-X-1-2	Sample	50
2	6	3	3	Sample-X-1-3	Sample	25
2	6	3	4	Sample-X-1-4	Sample	12.5
2	6	4	1	Sample-X-1-5	Sample	6.25
2	6	4	2	Sample-X-1-6	Sample	3.125
2	6	4	3	Sample-X-1-7	Sample	1.5625
2	6	4	4	PosCtrl	PosCtrl	100
2	7	1	1	Sample-X-1-1	Sample	100
2	7	1	2	Sample-X-1-2	Sample	50
2	7	1	3	Sample-X-1-3	Sample	25
2	7	1	4	Sample-X-1-4	Sample	12.5
2	7	2	1	Sample-X-1-5	Sample	6.25
2	7	2	2	Sample-X-1-6	Sample	3.125
2	7	2	3	Sample-X-1-7	Sample	1.5625
2	7	2	4	NegCtrl	NegCtrl	0
2	7	3	1	Sample-X-1-1	Sample	100
2	7	3	2	Sample-X-1-2	Sample	50
2	7	3	3	Sample-X-1-3	Sample	25
2	7	3	4	Sample-X-1-4	Sample	12.5
2	7	4	1	Sample-X-1-5	Sample	6.25
2	7	4	2	Sample-X-1-6	Sample	3.125
2	7	4	3	Sample-X-1-7	Sample	1.5625
2	7	4	4	PosCtrl	PosCtrl	100
2	8	1	1	Sample-X-1-1	Sample	100
2	8	1	2	Sample-X-1-2	Sample	50
2	8	1	3	Sample-X-1-3	Sample	25
2	8	1	4	Sample-X-1-4	Sample	12.5
2	8	2	1	Sample-X-1-5	Sample	6.25
2	8	2	2	Sample-X-1-6	Sample	3.125
2	8	2	3	Sample-X-1-7	Sample	1.5625
2	8	2	4	NegCtrl	NegCtrl	0
2	8	3	1	Sample-X-1-1	Sample	100
2	8	3	2	Sample-X-1-2	Sample	50
2	8	3	3	Sample-X-1-3	Sample	25
2	8	3	4	Sample-X-1-4	Sample	12.5
2	8	4	1	Sample-X-1-5	Sample	6.25
2	8	4	2	Sample-X-1-6	Sample	3.125
2	8	4	3	Sample-X-1-7	Sample	1.5625
2	8	4	4	PosCtrl	PosCtrl	100
2	9	1	1	Sample-X-1-1	Sample	100
2	9	1	2	Sample-X-1-2	Sample	50
2	9	1	3	Sample-X-1-3	Sample	25
2	9	1	4	Sample-X-1-4	Sample	12.5
2	9	2	1	Sample-X-1-5	Sample	6.25
2	9	2	2	Sample-X-1-6	Sample	3.125
2	9	2	3	Sample-X-1-7	Sample	1.5625
2	9	2	4	NegCtrl	NegCtrl	0
2	9	3	1	Sample-X-1-1	Sample	100
2	9	3	2	Sample-X-1-2	Sample	50
2	9	3	3	Sample-X-1-3	Sample	25
2	9	3	4	Sample-X-1-4	Sample	12.5
2	9	4	1	Sample-X-1-5	Sample	6.25
2	9	4	2	Sample-X-1-6	Sample	3.125
2	9	4	3	Sample-X-1-7	Sample	1.5625
2	9	4	4	PosCtrl	PosCtrl	100
2	10	1	1	Sample-X-1-1	Sample	100
2	10	1	2	Sample-X-1-2	Sample	50
2	10	1	3	Sample-X-1-3	Sample	25
2	10	1	4	Sample-X-1-4	Sample	12.5
2	10	2	1	Sample-X-1-5	Sample	6.25
2	10	2	2	Sample-X-1-6	Sample	3.125
2	10	2	3	Sample-X-1-7	Sample	1.5625
2	10	2	4	NegCtrl	NegCtrl	0
2	10	3	1	Sample-X-1-1	Sample	100
2	10	3	2	Sample-X-1-2	Sample	50
2	10	3	3	Sample-X-1-3	Sample	25
2	10	3	4	Sample-X-1-4	Sample	12.5
2	10	4	1	Sample-X-1-5	Sample	6.25
2	10	4	2	Sample-X-1-6	Sample	3.125
2	10	4	3	Sample-X-1-7	Sample	1.5625
2	10	4	4	PosCtrl	PosCtrl	100
2	11	1	1	Sample-X-1-1	Sample	100
2	11	1	2	Sample-X-1-2	Sample	50
2	11	1	3	Sample-X-1-3	Sample	25
2	11	1	4	Sample-X-1-4	Sample	12.5
2	11	2	1	Sample-X-1-5	Sample	6.25
2	11	2	2	Sample-X-1-6	Sample	3.125
2	11	2	3	Sample-X-1-7	Sample	1.5625
2	11	2	4	NegCtrl	NegCtrl	0
2	11	3	1	Sample-X-1-1	Sample	100
2	11	3	2	Sample-X-1-2	Sample	50
2	11	3	3	Sample-X-1-3	Sample	25
2	11	3	4	Sample-X-1-4	Sample	12.5
2	11	4	1	Sample-X-1-5	Sample	6.25
2	11	4	2	Sample-X-1-6	Sample	3.125
2	11	4	3	Sample-X-1-7	Sample	1.5625
2	11	4	4	PosCtrl	PosCtrl	100
2	12	1	1	Sample-X-1-1	Sample	100
2	12	1	2	Sample-X-1-2	Sample	50
2	12	1	3	Sample-X-1-3	Sample	25
2	12	1	4	Sample-X-1-4	Sample	12.5
2	12	2	1	Sample-X-1-5	Sample	6.25
2	12	2	2	Sample-X-1-6	Sample	3.125
2	12	2	3	Sample-X-1-7	Sample	1.5625
2	12	2	4	NegCtrl	NegCtrl	0
2	12	3	1	Sample-X-1-1	Sample	100
2	12	3	2	Sample-X-1-2	Sample	50
2	12	3	3	Sample-X-1-3	Sample	25
2	12	3	4	Sample-X-1-4	Sample	12.5
2	12	4	1	Sample-X-1-5	Sample	6.25
2	12	4	2	Sample-X-1-6	Sample	3.125
